"Dataset","Type","KC","Intercept","Slope"
"ds115","KC","response_ping2","-0.233362679906851","0.0193595412940737"
"ds115","KC","response_problem","0.760545711535892","-0.251698741832184"
"ds115","KC","response_qian2","-1.3870334363676","0.290568001055372"
"ds115","KC","response_red","1.55217980406811","-0.377940221878897"
"ds115","KC","response_relatively","0.798566113571173","-0.120597014137643"
"ds115","KC","response_ren2","0.587434619154062","-0.136121956356487"
"ds115","KC","response_rent","0.716711068021796","-0.245525251336636"
"ds115","KC","response_ri4","0.148423410816127","-0.012463814529303"
"ds115","KC","response_room","1.0183663870984","-0.159588267179275"
"ds115","KC","response_salesman","1.84873593668686","-0.357060420897547"
"ds115","KC","response_seaside","1.28878377816398","-0.367507756498532"
"ds115","KC","response_shang4bian1","-1.76778052375701","0.376537821393336"
"ds115","KC","response_shao3","0.0760771409574933","-0.0198834651016001"
"ds115","KC","response_shen2me","-1.2599791434107","0.295850833182525"
"ds115","KC","response_sheng1huo2","-2.44274769823825","0.526426848571491"
"ds115","KC","response_sheng1ri4","-2.19168001306014","0.46005568611914"
"ds115","KC","response_shi2jian1","-3.30879257568948","0.683166536203366"
"ds115","KC","response_shirt","1.27831893985057","-0.337854370762435"
"ds115","KC","response_shu1","-0.426946062519282","0.0837896018775007"
"ds115","KC","response_shu1fu","-0.862247167350395","0.198592684526563"
"ds115","KC","response_shuo1","-0.573175010727369","0.138693408232684"
"ds115","KC","response_si4","0.694268445121911","-0.171986357202349"
"ds115","KC","response_slow","1.63912912683584","-0.274444247474453"
"ds115","KC","response_small","1.5846996195147","-0.425382758132938"
"ds115","KC","response_soup","1.95010916906859","-0.292271231744355"
"ds115","KC","response_student","1.32846142229326","-0.31723667343466"
"ds115","KC","response_sui4","-0.853962435368472","0.1743387247877"
"ds115","KC","response_summer","1.15722178137227","-0.2214715519894"
"ds115","KC","response_table","0.910087964674237","-0.213156494923923"
"ds115","KC","response_tang1","0.500860698922149","-0.0966723578428825"
"ds115","KC","response_teacher","1.60751258988839","-0.349074355549638"
"ds115","KC","response_this","0.460419579850782","-0.0973220396301566"
"ds115","KC","response_ticket","1.05833071361798","-0.191653691113085"
"ds115","KC","response_time","0.474445351576885","-0.203281033919268"
"ds115","KC","response_to+ask","1.25569409203098","-0.251163495119256"
"ds115","KC","response_to+buy","0.85291013419383","-0.035012927510659"
"ds115","KC","response_to+call","0.352036222824459","-0.102821738089567"
"ds115","KC","response_to+cook","1.41833540348201","-0.300690047351868"
"ds115","KC","response_to+cough","0.424289086745379","-0.150824489042948"
"ds115","KC","response_to+do","0.713912213974021","-0.126641709315218"
"ds115","KC","response_to+eat","1.23137743852454","-0.242282133024624"
"ds115","KC","response_to+graduate","0.943773853293611","-0.19124218799349"
"ds115","KC","response_to+have","0.834730979546006","-0.234674354284898"
"ds115","KC","response_to+introduce","0.793346760934884","-0.113216607823069"
"ds115","KC","response_to+live","0.699981701006775","-0.116246909737726"
"ds115","KC","response_to+love","1.29103294759089","-0.229682092788956"
"ds115","KC","response_to+practice","0.212247503074689","-0.0193146076009486"
"ds115","KC","response_to+rain","0.450704940765224","-0.0775724494223777"
"ds115","KC","response_to+rest","0.418527785431012","-0.0548969760354924"
"ds115","KC","response_to+return","0.448364862441618","-0.133444285703224"
"ds115","KC","response_to+see","0.661502126308526","-0.203909743055596"
"ds115","KC","response_to+smoke","0.861936833908369","-0.149214761261694"
"ds115","KC","response_to+speak","0.154090894739295","-0.0464235023836239"
"ds115","KC","response_to+swim","0.995458355351235","-0.099204783767371"
"ds115","KC","response_to+walk","0.639572133657643","-0.108072032417824"
"ds115","KC","response_to+walk+2","0.814457589998607","-0.250109257028416"
"ds115","KC","response_to+want","0.568710136935037","-0.205436709877028"
"ds115","KC","response_today","1.4157165281998","-0.420171831238187"
"ds115","KC","response_tomorrow","1.1480000064546","-0.275968119389902"
"ds115","KC","response_train","0.997012910529932","-0.308839428232105"
"ds115","KC","response_two","1.68167941145863","-0.319423328444522"
"ds115","KC","response_upstairs","1.08658525423862","-0.228154258638886"
"ds115","KC","response_very","0.639135484631302","-0.165790730926763"
"ds115","KC","response_view","-0.122278035825105","-0.0198914703076732"
"ds115","KC","response_wan3shang4","-1.99021404432468","0.409683479251084"
"ds115","KC","response_warm","1.03266545429348","-0.270670864100536"
"ds115","KC","response_weekdays","-0.162246089783508","-0.0648776934358161"
"ds115","KC","response_wen4","0.74129122888767","-0.164209155729844"
"ds115","KC","response_wen4ti2","-1.57818026551414","0.338096588725675"
"ds115","KC","response_west","0.690680239838629","-0.1662113088554"
"ds115","KC","response_what","0.498991593637726","-0.173148947692858"
"ds115","KC","response_where","1.15385449416755","-0.212430570827358"
"ds115","KC","response_which","1.12364080772516","-0.209892929897383"
"ds115","KC","response_wonderful","1.76871270386741","-0.338073312556216"
"ds115","KC","response_xi1bu4","-1.25586889324801","0.27339081305633"
"ds115","KC","response_xi1yan1","-1.83235146008516","0.378983024232078"
"ds115","KC","response_xia4","-0.846128880112234","0.181085999512377"
"ds115","KC","response_xia4yu3","-1.75933796210041","0.393699236330866"
"ds115","KC","response_xian1sheng","-2.04317653123267","0.452467087505418"
"ds115","KC","response_xian4zai4","-2.2490234848774","0.445096832737347"
"ds115","KC","response_xiao3","-1.1324154048517","0.260703950619852"
"ds115","KC","response_xin1","-0.344243883215215","0.0780564321369799"
"ds115","KC","response_xin4","-0.176338257599243","0.0840706666763294"
"ds115","KC","response_xing1qi1","-2.20713547684312","0.483171502167759"
"ds115","KC","response_xiu1xi","-1.24511146913818","0.275292424813013"
"ds115","KC","response_xue2sheng","-2.47781126996209","0.502939416849403"
"ds115","KC","response_yao4","-0.733296536458275","0.183060929768825"
"ds115","KC","response_year","0.675260017838629","-0.109692391443637"
"ds115","KC","response_years","0.648398694227876","-0.160322797248439"
"ds115","KC","response_yi1","0.446379558959773","-0.0524606578893781"
"ds115","KC","response_yi1sheng1","-1.25561006196479","0.260808043930133"
"ds115","KC","response_yi3qian2","-2.35783091290687","0.490834834376685"
"ds115","KC","response_you","2.48583233546115","-0.45933515827271"
"ds115","KC","response_you2yong3","-1.74668870163014","0.379510597659557"
"ds115","KC","response_you3","0.634229664206677","-0.153777493814787"
"ds115","KC","response_yu2kuai4","-1.88169736051299","0.382580790686006"
"ds115","KC","response_zai4","-1.8590868996555","0.40662508515017"
"ds115","KC","response_zhe4","-0.770740360022452","0.199294358582113"
"ds115","KC","response_zhi3yao4","-2.07368465520125","0.45244757891093"
"ds115","KC","response_zhong1jian1","-2.15555769278917","0.442097903177295"
"ds115","KC","response_zhu4","-0.686738656091456","0.142729245287641"
"ds115","KC","response_zou3","-0.120950901379931","-0.00359850849047976"
"ds115","KC","response_zou3lu4","-1.56535732690508","0.316145147356278"
"ds115","KC","response_zuo4","-1.19506710212024","0.231024696223339"
"ds115","KC","response_zuo4fan4","-1.47545561237541","0.311675220442521"
"ds4555","KC","alg-1op-ntab-f","0.572871427882968","0.0217019571483434"
"ds4555","KC","alg-1op-wtab","0.767842852341483","0.0131300432354686"
"ds4555","KC","alg-2op-npar-ntab-f","0.0502407699331853","0.00527761354628193"
"ds4555","KC","alg-2op-npar-wtab","0.179928458907528","0.0154733595119818"
"ds4555","KC","alg-2op-wpar-ntab-iso-f","-0.298233689066681","0.0111962816917817"
"ds4555","KC","alg-2op-wpar-wtab","-0.536800502828581","0.0351749815995183"
"ds4555","KC","ari-cal-1op-wtab","0.649555368222658","-0.0217364525817269"
"ds4555","KC","ari-cal-2op-wtab","-0.364326426480028","-0.0183519190968672"
"ds4555","KC","ari-ent-backward","1.39879461292063","-0.00668515361211392"
"ds4555","KC","ari-ent-forward","1.7528513434462","0.00356888665349259"
"ds4555","KC","e-coefficient","-0.398822823756681","-0.00741429821355881"
"ds4555","KC","e-constant-term-g1op","0.180297172893865","-0.0299566818689858"
"ds4555","KC","e-prod-coef-and-var","-0.955419568732506","-0.00336058082467023"
"ds4555","KC","e-prod-coef-and-var-exp-g1op","-1.06647781956374","-0.0345112399637672"
"ds4555","KC","e-sum-two-terms","-0.785035869544725","-0.0031935828396791"
"ds4555","KC","e-variable","-0.849172483474141","-0.0259980276719228"
"ds4555","KC","e-variable-expression","-1.15446281898097","-0.0145287129082931"
"ds4555","KC","w-coefficient-g1op","0.544405972755478","0.0119773536346137"
"ds4555","KC","w-constant-term-g1op","1.04880902897647","-0.0234664070109748"
"ds4555","KC","w-prod-coef-and-var-exp-g1op","0.152611635426966","0.00639891007394684"
"ds4555","KC","w-prod-coef-and-var-g1op","-0.764170040815557","-0.00661595019964505"
"ds4555","KC","w-sum-two-terms","0.0609798563431404","0.0165839275367083"
"ds4555","KC","w-variable","-0.00142405648549289","0.0386706467338609"
"ds4555","KC","w-variable-expression","-0.1894323625421","0.0143614915360097"
"ds1935","KC","all","0.303246665381488","-0.162759856020486"
"ds1935","KC","all*arithmetic_fractions_add_steps","-0.788511232671046","0.379619154289459"
"ds1935","KC","all*arithmetic_fractions_multiply_divide_steps","0.992344960541253","-0.0457145621291594"
"ds1935","KC","all*arithmetic_operations_add","0.035479128028976","0.00812356375362944"
"ds1935","KC","all*arithmetic_operations_add_identify","-1.91288726380048","0.279978064787605"
"ds1935","KC","all*arithmetic_operations_add_identify*arithmetic_operations_add","0.486664167615891","0.0321726533691751"
"ds1935","KC","all*arithmetic_operations_negative_divide","1.80378487967645","-0.280828114352113"
"ds1935","KC","all*data_determine_median","-0.922756424110743","0.197987427599663"
"ds1935","KC","all*data_identify_LOSKILL","1.9796666491102","-0.154112951527873"
"ds1935","KC","all*data_steps_graphSKILL","-1.62163126497499","-0.00978103021830354"
"ds1935","KC","all*measurements_metric_conv_LO_prefixes","-1.02106829953203","0.026735083430074"
"ds1935","KC","all*measurements_tools_time","1.06019985118892","-0.0895947198303369"
"ds1935","KC","all*problem_solve_LO_carry_out_plan","-1.34423238239423","0.0587005895211661"
"ds1935","KC","all*problem_solve_LO_carry_out_plan*measurements_english_conv_LO_DA","-4.43509531363076","0.227193020561893"
"ds1935","KC","all*problem_solve_LO_evaluate","3.2813146562357","-0.182797841977976"
"ds1935","KC","all*problem_solve_LO_make_plan","-2.28934278620715","-0.0887933800028929"
"ds1935","KC","all*problem_solve_LO_strategies","3.32532708116075","-0.183684815539122"
"ds1330","KC","6.EE.A.2c","0.123978572628372","0.0290406852743029"
"ds1330","KC","6.EE.B.5","0.159925068698306","1.23708708885225"
"ds1330","KC","6.EE.B.6","1.13597909308448","-0.237311771202219"
"ds1330","KC","6.EE.B.8","0.561816746073681","-0.24911096653219"
"ds1330","KC","6.G.A.1","0.093764167721439","-0.0276635588019718"
"ds1330","KC","6.G.A.4","-0.222642172333547","0.61411469961354"
"ds1330","KC","6.RP.A.1","0.268303578976138","-0.515668184643184"
"ds1330","KC","6.RP.A.3","-0.363905900541525","-0.0358720349800944"
"ds1330","KC","6.RP.A.3a","-0.675796441924264","0.171336237993977"
"ds1330","KC","6.SP.A.1","-1.37780313268137","0.257692125916914"
"ds1330","KC","6.SP.B.5","-1.50313833926021","0.72919125814123"
"ds1330","KC","6.SP.B.5a","1.46123839372774","-1.10221286430689"
"ds1330","KC","7.EE.A.1","-0.399554025445563","-0.748702217741014"
"ds1330","KC","7.EE.A.2","0.0729604447772949","-0.115410469522216"
"ds1330","KC","7.EE.B.3","-0.506278782567455","-0.412648018531354"
"ds1330","KC","7.EE.B.4","0.866627010104323","-0.34974288202618"
"ds1330","KC","7.G.B.4","-0.247752391562615","0.0223672927273588"
"ds1330","KC","7.SP.A.1","0.258358163854302","0.0264345806669204"
"ds1330","KC","7.SP.A.2","-0.219125696888542","-0.268950904689474"
"ds1330","KC","7.SP.C.5","-0.113216571076412","-0.151325635543969"
"ds1330","KC","7.SP.C.8a","-0.175664154937867","0.716851739320571"
"ds1330","KC","7.SP.C.8b","0.0983196724836845","0.1253635554053"
"ds1330","KC","7.SP.C.8c","0.319943638599967","0.278956365326641"
"ds445","KC","all","0.807324083823303","-0.0729815609301897"
"ds445","KC","all*NearBench","0.106044142684974","0.0346004980244056"
"ds445","KC","all*NearBench*1/10","1.18378155378174","0.460445994595308"
"ds445","KC","all*NearBench*1/8","0.556071366319015","-0.0146047961658217"
"ds445","KC","all*NearBench*5/6","0.191603412789205","0.233174448518519"
"ds445","KC","all*NearBench*Click","0.193935303606653","-0.125258869964079"
"ds445","KC","all*NearBench*Click*1/10","0.646387213647645","0.230768220505767"
"ds445","KC","all*NearBench*Click*9/10","1.00868080963168","0.166927446383729"
"ds445","KC","all*NearBench*Click*NonUnitNearBench","-0.226634861468369","-0.148302575642234"
"ds445","KC","all*NotNear","-0.1135627365042","-0.22406349126256"
"ds445","KC","all*NotNear*1/3","-0.446747160309869","-0.00736076720514129"
"ds445","KC","all*NotNear*2/5","-0.381972914837901","0.0124986263650344"
"ds445","KC","all*NotNear*3/7","-0.483649618613151","-0.159228967700211"
"ds445","KC","all*NotNear*5/8","-0.116350894044445","-0.214477154316096"
"ds445","KC","all*NotNear*Click","0.198995477315744","-0.35807843797484"
"ds445","KC","all*NotNear*Click*3/7","-1.19992634543293","-0.244262547572219"
"ds445","KC","all*NotNear*Click*NonUnitNotNear","-0.614986055740966","-0.243996017298736"
"ds445","KC","all*NotNear*Click*NonUnitNotNear*3/5","-0.851206387405862","-0.175321799058187"
"ds445","KC","all*NotNear*Click*NonUnitNotNear*7/10","0.0544720361795118","-0.0722917296011682"
"ds445","KC","all*Whole-numC","-0.435462961410602","0.861183653324844"
"ds447","KC","0-disease","-0.947036514710827","0.0463733038636921"
"ds447","KC","0-go with habitual location","-0.40722877427643","0.0233387132952725"
"ds447","KC","0-halls, malls, stadiums, parks, hospitals","-1.37324345236287","0.0147545585860319"
"ds447","KC","0-lake, mountains, islands, canyons","-1.24298590166379","0.0335753216710612"
"ds447","KC","0-noncountable","-0.277146662570617","-0.066369591827155"
"ds447","KC","0-plural","-0.614836539343048","0.006757271485127"
"ds447","KC","0-political and military institution used as adjective","-1.16545554915332","-0.0648612299507236"
"ds447","KC","0-XX street/road/avenue/boulevard","-1.27125491956616","0.0534124891659664"
"ds447","KC","0-XX university/college","-0.706600983407879","0.0485227821861698"
"ds447","KC","0-XX's construction","-0.755294125783768","0.0108533673605314"
"ds447","KC","a/an-go with recreation activities","0.280055902357458","0.0289976459006757"
